movie_id,user_id,rating
102,14,2.0
77,32,2.0
101,1,3.0
95,17,3.0
64,43,1.0
88,9,3.0
39,7,2.0
36,1,3.0
97,13,2.0
83,2,1.0
22,44,2.0
91,21,1.0
91,6,2.0
33,3,1.0
113,29,4.0
118,21,1.0
27,18,3.0
71,44,2.0
79,2,1.0
47,1,3.0
26,6,2.0
70,45,3.0
107,30,2.0
4,23,2.0
72,42,3.0
46,33,3.0
71,15,2.0
116,47,3.0
73,26,3.0
34,31,2.0
105,46,2.0
94,40,1.0
22,34,3.0
61,10,2.0
58,19,3.0
84,0,3.0
101,31,2.0
13,22,2.0
25,46,2.0
106,22,2.0
98,23,3.0
36,8,2.0
108,1,4.0
24,27,4.0
28,40,1.0
102,32,2.0
59,45,3.0
112,31,2.0
92,13,2.0
79,0,3.0
4,8,2.0
86,7,2.0
74,6,2.0
19,28,1.0
44,26,4.0
97,38,2.0
71,27,4.0
94,32,2.0
114,8,2.0
40,40,2.0
103,34,3.0
104,16,2.0
37,47,3.0
74,38,2.0
65,14,2.0
23,26,3.0
23,27,4.0
1,26,3.0
11,12,2.0
79,3,1.0
76,27,4.0
103,37,2.0
101,24,2.0
40,17,3.0
60,33,3.0
14,12,2.0
14,2,0.0
105,3,1.0
77,17,3.0
26,4,1.0
71,35,3.0
88,35,4.0
13,35,4.0
113,1,3.0
73,4,1.0
34,44,2.0
64,4,1.0
100,30,2.0
60,29,4.0
28,23,2.0
104,23,3.0
43,17,2.0
22,46,2.0
68,2,1.0
110,5,2.0
23,34,3.0
20,13,2.0
110,10,2.0
25,5,3.0
23,0,3.0
11,21,1.0
70,15,2.0
70,42,3.0
8,29,4.0
90,9,3.0
65,39,3.0
78,17,3.0
18,25,2.0
114,9,3.0
85,18,2.0
113,23,3.0
119,46,2.0
29,21,1.0
34,26,4.0
93,0,3.0
37,17,2.0
109,3,1.0
67,6,2.0
19,14,2.0
37,15,2.0
63,25,2.0
26,14,2.0
7,33,3.0
22,32,2.0
64,30,2.0
11,49,3.0
84,26,3.0
4,5,2.0
22,41,2.0
110,12,2.0
28,39,3.0
34,40,2.0
65,26,3.0
66,36,1.0
26,13,2.0
119,25,2.0
39,28,1.0
41,3,1.0
31,0,3.0
43,12,3.0
40,22,2.0
119,4,1.0
29,26,4.0
24,46,2.0
60,15,2.0
85,4,2.0
53,18,2.0
46,16,2.0
25,7,2.0
47,38,2.0
50,20,3.0
52,47,4.0
92,6,1.0
37,12,2.0
54,39,4.0
111,18,3.0
78,8,2.0
86,37,2.0
80,0,3.0
4,10,2.0
45,27,4.0
105,12,2.0
57,1,3.0
65,21,1.0
112,49,3.0
63,40,2.0
118,11,3.0
56,2,1.0
15,30,2.0
47,30,3.0
37,1,4.0
67,8,2.0
50,3,2.0
118,32,2.0
57,49,3.0
36,41,2.0
76,39,3.0
47,45,3.0
21,18,2.0
48,48,2.0
90,6,2.0
115,40,2.0
33,41,3.0
13,31,2.0
3,43,2.0
97,24,2.0
75,31,2.0
8,18,2.0
77,25,2.0
14,14,2.0
64,8,2.0
106,32,2.0
84,17,3.0
14,44,2.0
64,22,1.0
73,8,2.0
111,48,2.0
84,44,2.0
79,34,3.0
20,14,2.0
33,24,2.0
78,40,1.0
80,27,4.0
106,41,2.0
62,21,1.0
3,44,2.0
50,35,4.0
106,9,3.0
17,31,2.0
63,6,2.0
82,36,2.0
50,0,4.0
112,5,2.0
26,19,2.0
27,32,2.0
46,20,4.0
80,18,3.0
43,38,2.0
110,39,4.0
103,25,2.0
46,46,3.0
76,5,2.0
36,46,2.0
39,30,2.0
54,22,2.0
115,24,2.0
2,13,2.0
49,30,2.0
65,20,4.0
106,2,1.0
56,12,2.0
64,19,3.0
65,32,2.0
58,30,2.0
22,5,2.0
16,34,2.0
80,11,3.0
57,27,4.0
25,33,3.0
21,43,1.0
57,38,2.0
84,2,0.0
117,24,2.0
37,0,3.0
94,44,2.0
104,34,2.0
50,4,1.0
2,22,2.0
80,30,3.0
68,19,2.0
24,23,3.0
92,45,3.0
65,18,3.0
113,8,2.0
117,9,3.0
98,42,3.0
23,2,1.0
49,14,2.0
48,44,2.0
67,7,2.0
15,11,3.0
73,11,3.0
0,8,2.0
119,1,3.0
79,1,3.0
17,20,4.0
69,45,3.0
110,35,4.0
34,39,4.0
30,48,2.0
85,2,1.0
37,22,2.0
63,48,2.0
98,36,1.0
101,0,3.0
57,14,2.0
101,43,1.0
37,7,1.0
12,49,3.0
48,3,1.0
25,31,2.0
44,10,2.0
7,19,3.0
34,11,3.0
97,23,2.0
53,7,2.0
101,9,3.0
95,38,2.0
42,44,2.0
98,30,2.0
26,37,2.0
5,36,2.0
10,6,2.0
72,8,2.0
66,25,2.0
18,47,3.0
96,40,1.0
17,8,2.0
49,41,2.0
102,21,1.0
25,10,2.0
9,10,2.0
80,45,3.0
106,4,2.0
54,45,3.0
60,23,3.0
115,47,3.0
78,22,1.0
104,46,2.0
80,14,2.0
49,25,2.0
69,15,2.0
104,12,2.0
112,3,1.0
79,43,1.0
78,9,3.0
12,1,3.0
96,12,2.0
88,20,3.0
72,13,2.0
1,11,3.0
27,45,3.0
108,9,3.0
58,36,2.0
11,33,3.0
16,40,2.0
81,5,2.0
97,14,2.0
85,36,2.0
40,38,2.0
2,38,2.0
22,24,2.0
46,47,3.0
71,29,4.0
2,47,3.0
54,11,3.0
25,16,2.0
48,1,3.0
111,33,3.0
67,39,4.0
21,4,1.0
3,15,2.0
41,7,2.0
106,5,2.0
6,28,1.0
43,19,3.0
13,24,2.0
96,31,2.0
39,21,1.0
110,1,3.0
51,42,3.0
114,12,2.0
39,35,4.0
54,42,4.0
106,39,4.0
1,30,2.0
57,43,1.0
35,42,3.0
17,0,3.0
15,43,1.0
108,23,2.0
94,13,2.0
49,9,3.0
49,19,3.0
10,9,4.0
83,46,2.0
18,37,2.0
58,12,2.0
33,25,2.0
81,15,2.0
22,22,1.0
73,42,4.0
53,28,1.0
96,5,2.0
103,36,2.0
4,29,4.0
55,4,1.0
107,21,1.0
43,26,4.0
12,29,4.0
53,30,2.0
74,21,1.0
77,47,3.0
110,45,3.0
87,8,2.0
44,47,2.0
98,41,3.0
